Gerardo Stretton								
Oscar Aguilera	/artist/67957:Oscar-Aguilera	man	Spanje	DJ	electro, house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/oscar-aguilera', 'twitter': 'https://partyflock.nlhttps://twitter.com/OscarAguileradj', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/oscaraguileratv'}
Loopsy Dazy								
LUFT	/artist/122408:Luftwaffel	man	Nederland	DJ, groep	EDM, happy hardcore	https://www.luftwaffel.nl/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/user-261555242', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UCCNocbF0hj26D7UbV6oYPmQ', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/7sWJBzHBTflJ0cr9a9N21B', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/luftwaffel_nl', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1777228339273837'}
imaminaki								
Damian Saint								
Zset								
Matteo Vinti								
Mogli	/artist/75674:mogli	man	Duitsland	DJ	techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/mogliht', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100002254343295'}
Jack In Out								
Facu Suarez								
Colin Hyland								
Philth	/artist/108687:Philth	man	Verenigd Koninkrijk	DJ	drum & bass	https://philthdj.com/	http://bassic.co/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/philth', 'twitter': 'https://partyflock.nlhttps://twitter.com/philthdj', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/549727076'}
JJ Flores								
SNÄZZY								
Grant MacDonald								
Jesus de la Cava								
Sam Dexter								
Robaco Bossa	/artist/41644:Robaco-Bossa	man	Nederland	DJ, producer	deephouse, progressive trance, techhouse			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/RobacoBossa', 'twitter': 'https://partyflock.nlhttps://twitter.com/RobacoBossa', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/RobacoBossa', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1644371053'}
Diamondstein								
Raul Sanchez (IT)								
Anushka	/artist/81847:Anushka	mix	Verenigd Koninkrijk	4 × DJ, producer, groep				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/anushkauk', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/anushka/id257157410', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/172310786178695'}
X-Cube								
Yougo								
J-Bounce								
Soul Fortune								
Marquese								
