artist_name	artist_page_url	gender	born	position	genres	site	booking	external_links
Margaret Dygas	/artist/34852:Margaret-Dygas	vrouw	Polen	DJ	house, minimal, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/margaret', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/96801153486', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/6GnLE3Ncm59wsLSqF9divg'}
Sunil Sharpe	/artist/85973:Sunil-Sharpe	man	Ierland	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/sunilsharpe', 'twitter': 'https://partyflock.nlhttps://twitter.com/sunilsharpe', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/130320310412020'}
Alex Niggemann	/artist/54681:Alex-Niggemann	man	Duitsland	DJ	house, minimal, techhouse, techno	http://www.alexniggemann.com/	http://wearee.nl/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/alexniggemann', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/58011396097', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/alexniggemann'}
Xhin	/artist/59022:Xhin		Singapore	live act, DJ	minimal, techhouse, techno	http://www.xhin.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/xhin', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/91886026023'}
Max Cooper	/artist/97443:Stereoclip	man	België	DJ, live act	deephouse, electro			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/stereoclip', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/164075696961861', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/stereoclip', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/stereoclipbe/'}
TOXE								
Pessimist	/artist/110096:Pessimist	man	Verenigd Koninkrijk	DJ	drum & bass			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/pessimist', 'twitter': 'https://partyflock.nlhttps://twitter.com/Pessimistdnb', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/176880789025892'}
Madam X								
Axel Boman	/artist/56898:Axel-Boman	man	Zweden	DJ	deephouse, disco, house, techhouse, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/axelboman', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/axel-boman/id271636451', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/160969600625535'}
Vril	/artist/65398:VRIL	man	Duitsland	live act	techno		http://www.dystopian.de/	{'facebook': 'https://partyflock.nlhttps://www.facebook.com/362858947226694'}
Steve Bug	/artist/3742:Steve-Bug	man	Duitsland	DJ	deephouse, minimal, techhouse, techno	http://www.stevebug.com/	http://www.geist-agency.com/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/stevebug', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/steve-bug/id3824571', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/SteveBugTV', 'twitter': 'https://partyflock.nlhttps://twitter.com/steve_bug', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/8517364710', 'instagram': 'https://partyflock.nlhttps://instagram.com/steve_bug'}
Christopher Rau	/artist/71738:Christopher-Rau	man	Duitsland	DJ, live act	house, techno, zouk		http://oddfantastic.com/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/christopher-rau', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/194503673908965'}
Edward	/artist/80203:Generate	man	Nederland	DJ, live act	ambient, breaks, drum & bass, dubstep, glitch			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/generate', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/110561538986512'}
Marc Kinchen	/artist/71845:MK	man	Verenigde Staten	DJ	house			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/marckinchen', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/MarcKinchen', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/187859097957900', 'instagram': 'https://partyflock.nlhttps://instagram.com/marckinchen'}
Esther Duijn	/artist/25032:Esther-Duijn	vrouw	Nederland	DJ	disco, house, techno	http://www.estherduijn.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/esther-duijn', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100003128335464'}
Robert Dietz	/artist/48497:Robert-Dietz	man	Duitsland	DJ	minimal	http://robertdietz.net/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/robert-dietz', 'twitter': 'https://partyflock.nlhttps://twitter.com/robertdietz', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/43133943877', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/robertdietzdj'}
