Christian Schiemann								
Javier Santos	/artist/108298:Intiche	man	Argentinië	DJ	electronica	http://www.intiche.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/intiche', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100000099525577'}
Jdisko								
Jesse Futerman								
Richard Fearless	/artist/99977:Richard-Fearless	man	Verenigd Koninkrijk	DJ	techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/richard-fearless', 'twitter': 'https://partyflock.nlhttps://twitter.com/RichardFearless', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1999306060295968'}
Lukhas								
Booker	/artist/72246:eLBee-BaD	man	Verenigde Staten	DJ, MC	techhouse			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/princelbeebad', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/BadBalenax', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/105805656117096'}
MKO								
Kideko	/artist/99618:Kideko	man	Verenigd Koninkrijk	DJ, producer	bass, house			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/kidekomusic', 'twitter': 'https://partyflock.nlhttps://twitter.com/kidekomusic', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/kidekomusic/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/529550577104704'}
Dugong								
Alpha Steppa								
Dirty South	/artist/44491:Dirty-South	man	Australië	DJ, producer	electro, funk, house, techhouse	http://www.dirtysouth.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/dirtysouth', 'twitter': 'https://partyflock.nlhttps://twitter.com/dirtysouth909', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/dirtysouth909', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100002938569390'}
Dan.Johnson								
Pandora Drive								
Kilian Schneider								
Kosme	/artist/89502:Kosme	man	Frankrijk	DJ, producer	techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/kosme', 'twitter': 'https://partyflock.nlhttps://twitter.com/kosmefr', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/108170402630447'}
Juan Jespar								
Bionick								
Soulmelt								
Need For Mirrors	/artist/96528:Need-for-Mirrors	man	Verenigd Koninkrijk	DJ	drum & bass		https://www.soulinmotionagency.com/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/needformirrors', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/221117056080'}
Radek Cyman								
Volta	/artist/70974:High-Voltage	man	Nederland	DJ, producer	hardstyle, raw hardstyle		http://mostwanted.dj/	{'twitter': 'https://partyflock.nlhttps://twitter.com/HighVoltage_RAW', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/highvoltage_official/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/328679323899573'}
Detroit Grandma								
James Duncan	/artist/94233:Duncan-James	man	Nederland	DJ				{}
Patriarch Conflicts	/artist/66006:Patriarch-Conflicts	man	Nederland	DJ, live act, groep	techno			{'soundcloud': 'https://partyflock.nlhttps://www.soundcloud.com/patriarchconflicts', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/322261831125093'}
Kivisoul								
Lukas Valo								
Esther Benoit								
DJ Okapi								
Amber Long	/artist/89321:Amber-Long	vrouw	Canada	DJ, live act	house, progressive trance, techno	https://missamberlong.com/		{'soundcloud': 'https://partyflock.nlhttps://www.soundcloud.com/amberlong', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/amberlongsays', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/17505322633'}
Black Nakhur	/artist/84687:black-nakhur		Duitsland	DJ				{'soundcloud': 'https://partyflock.nlhttps://www.soundcloud.com/blacknakhur', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100002057397191'}
Francisco de Tavira								
Cardinal Sound								
Conor	/artist/120689:Fontaines-D-C	man	Ierland	band	post-punk, rock & roll			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/fontainesdublin', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/3SXwqSqAoBz9WCI9PDQzY6', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UCVtO4Hc3qiKScQBad51RAIQ', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/fontainesband/', 'itunes': 'https://partyflock.nlhttps://itunes.apple.com/artist/fontaines/id1235722747', 'twitter': 'https://partyflock.nlhttps://twitter.com/fontainesdublin', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1495829580667815'}
Casey Beats								
Desiree Paris								
Theo Komp								
Eva Theotokatou								
Brett Sinclair								
Vadim Zhukov								
J Slusher								
JFunc								
Nabil	/artist/69184:Disco-Dasco	man	België	DJ, groep	house			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/disco-dasco', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/158741274228474'}
Red Eye	/artist/100135:Red-Eye-Crew	man	Nederland	soundsystem	reggae			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/chris-mallens', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UCUuT0jF3opZpsr3rkO29K5A', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/214115062102220'}
