Jackmaster K								
Cream aka CRM								
Daniel Kosher								
Peculiar								
Joe Walters								
Maybe Laura								
Joost Ruyter	/artist/17445:Joost-Ruyter	man	Nederland	DJ	deephouse, house, techhouse, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/joost-ruyter', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100446183339651'}
Solo Forte								
Ostro								
Isodisco DJs								
Alen Hertz								
Zavala								
Selecta Bros	/artist/85915:Bear-Bros	man	Italië	DJ, groep	dancehall, hip hop, reggae			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/bearbros'}
Aneed								
Mountal								
Goshva	/artist/53611:Goshva	man	Oekraïne	DJ, live act	house, minimal, techno		http://www.myspace.com/goshva	{}
Blockoland								
Marius Lehnert	/artist/63043:Marius-Lehnert	man	Duitsland	DJ	deephouse, techhouse, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/marius-lehnert', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100451540018379'}
Passh!								
Heinrich & Heine	/artist/100229:Alfred-Heinrichs	man	Duitsland	DJ	techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/alfred-heinrichs', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/alfred_heinrichs/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/164175470288985', 'twitter': 'https://partyflock.nlhttps://twitter.com/alfredheinrichs'}
Semi Cosco								
Mr. Oizo	/artist/40340:Mr-Oizo	man	Frankrijk	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/oizo-mr-3000', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/mr.-oizo/id28417453', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/31448313657', 'twitter': 'https://partyflock.nlhttps://twitter.com/oizo3000'}
Jinyang								
Discordance								
Tank Edwards								
Teckni B								
DJ Intel								
Steve Dumont								
Terry Costello								
Eddie Haira								
møl.	/artist/101805:Mol	man	Nederland	DJ	techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/de-mol', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1563203650583309'}
Church Van								
Koshowko								
Markus Leu								
Jorge Romero								
miXile								
voidrover								
Adobo								
Alex Lombardi								
Sarj								
Urban Logic								
Juho Kusti	/artist/87802:Juho-Kusti	man	Finland	DJ	house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/juhokusti', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/187697307930443', 'twitter': 'https://partyflock.nlhttps://twitter.com/JuhoKusti'}
