Danny Graham								
Fromot								
Drrtyhaze								
Bubba Dubs								
Marc Maya	/artist/67955:Marc-Maya	man	Spanje	DJ	minimal, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/marcmaya', 'twitter': 'https://partyflock.nlhttps://twitter.com/MarcMayaOficial', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UC2yFqUwwYsgVmIuDJJ8UZUw', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/125620740830710'}
Gamma Intel	/artist/108503:Gamma-Intel	man	Nederland	DJ			https://www.zestzest.net/gamma-intel/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/gammaintelligence', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1856286557928497'}
Jamanna Hoj								
Chris Nottingham								
Techno Farben								
Illya								
Speakerbot								
Lorenzo Fortino								
Fango	/artist/81185:Fango	man	Italië	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/fangodiscos', 'twitter': 'https://partyflock.nlhttps://twitter.com/fangodegustibus', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/fangodegustibus/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/418875248179841'}
Rivka M								
Shane Macauley	/artist/81957:Shane-Macauley	man	Verenigd Koninkrijk	DJ				{'twitter': 'https://partyflock.nlhttps://twitter.com/shanemacauley', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100002049100607'}
Around7								
Blank & Jones	/artist/122500:Blanka	vrouw	Spanje	DJ	techhouse, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/blanka-59618014', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/i.am.blanka/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/profile.php?id=100004279030847'}
Agrippa								
Carla & Oliver	/artist/86588:Solstice	vrouw	Verenigd Koninkrijk	DJ	drum & bass			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/solstice-dj', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/822665458'}
expanse								
December Beaches								
Swoop								
D'Arabia								
Dean Sherry								
Soul Department								
Clifford Irving								
Cian Ó Cíobháin								
Sepypes (2)								
Fox MacLeod								
Raeside	/artist/50471:Andy-Raeside		Schotland	DJ	techno, trance			{}
David Delgado	/artist/60014:David-Delgado	man	Colombia	DJ	electro, house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/daviddelgado', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/555011744834829'}
