El Naas								
TEKO	/artist/116038:Smif-N-Wessun	man	Verenigde Staten	rapper, groep	hip hop	https://www.smifnwessun.com/		{'facebook': 'https://partyflock.nlhttps://www.facebook.com/16081763401', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/2p0Hf0MF8Nw8lwAXokczf0', 'twitter': 'https://partyflock.nlhttps://twitter.com/Smifnwessun', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/realsmifnwessun/'}
Beau Zwart	/artist/77818:Beau-Zwart	man	Nederland	DJ, live act	house	http://www.beauzwart.com/		{'youtube': 'https://partyflock.nlhttps://www.youtube.com/beauzwart', 'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/beauzwart', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1376742595883910', 'twitter': 'https://partyflock.nlhttps://twitter.com/beauzwart'}
Alejandro Caro								
JTL	/artist/28042:JTL-dj-Team	man	Nederland	DJ, groep	classics, jump, oldschool			{}
Lämm	/artist/80990:Lovestad	man	Nederland	live act, 2 × DJ, groep			http://wearee.nl/artist/lovestad-nl/	{'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UC9MdEfKRiCSWUG8ZeDAmkkw', 'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/lovestad', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/14ObPnLzYAKSBPZzQ9Va3e', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/595523490529550', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/lovestadlive/'}
Moosfiebr								
DJ Rick	/artist/46602:R-Two	man	Nederland	DJ	club, eclectic, house, latin			{}
Kleinlaut	/artist/70161:Kleinlaut	man	Duitsland	DJ	minimal, techno	http://www.bandmine.com/artist/music/kleinlautberlin/371567		{}
Mia Monroe								
Reptilian Sound System								
Syzed								
AIDA	/artist/195:Lady-Aida	vrouw	Nederland	DJ		http://www.rebelbass.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/rebelbass', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/68203701207', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/rebelbass'}
Fuusio								
Nocturnal Emissions								
Mime	/artist/84995:MIME	man	Nederland	DJ	hardstyle			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/mimehardstyle', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/248161021976129'}
Douster	/artist/52351:Douster	man	Argentinië	DJ	hip hop, latin			{}
Punto G								
Central	/artist/120957:Problem-Central	man	Verenigd Koninkrijk	DJ, groep	drum & bass	https://problemcentral.net/		{'instagram': 'https://partyflock.nlhttps://www.instagram.com/problem_central/', 'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/problemcentral', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/13IKwn3JYaeLEWhCRZQv7R', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/568555650156868', 'twitter': 'https://partyflock.nlhttps://twitter.com/problem_central'}
Jakobsnake								
Mark S (RU)								
Jaume Tardiu								
ArhiteK								
Richard Lee	/artist/104749:Groove-Technicians	man	Verenigd Koninkrijk	DJ, groep		http://www.groovetechnicians.co.uk/		{'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/groovetechniciansme', 'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/groovetechnicians', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/134730493261240', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/groovetechnicians/'}
Güs	/artist/33235:GUS	man	Nederland	DJ	deephouse, house, techhouse			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/dj-gus-10', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/507823862689308'}
Marc Input								
Hubertus van Reisinger								
Allo	/artist/80282:Young-Fathers	man	Venezuela	live act, groep	hip hop, pop, r&b	http://www.young-fathers.com/	http://primarytalent.com/young-fathers/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/youngfathers', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/56719941522', 'twitter': 'https://partyflock.nlhttps://twitter.com/Youngfathers'}
Felipe Perdomo								
Spliffy B								
Da Roots								
Sly Faux								
Habitat	/artist/121684:Habitat	man	Duitsland	DJ	deephouse, techhouse			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/habitathamburg', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/485264658292179', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/habitatmusic/'}
Yuko Asanuma								
Catolico								
POOLS								
Sasse	/artist/45564:Sasse			DJ	minimal, techno			{}
Ed Lee								
Bengoa								
Elio Ks	/artist/95609:Elio-Ks	man	Spanje	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/elio-ks', 'twitter': 'https://partyflock.nlhttps://twitter.com/ElioKsOfficial'}
Jonson	/artist/15719:Mathew-Jonson	man	Canada	DJ, live act	ambient, house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/mathew-jonson', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/30624791775'}
Junior Legh								
Anna Miranda	/artist/86365:ANNA	vrouw	Brazilië	DJ	techhouse, techno	https://www.anna-official.com/		{'youtube': 'https://partyflock.nlhttps://www.youtube.com/c/ANNAMUSIC', 'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/dj_anna', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/3wkaDi2HJV3eCaBJ4iH6om', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/176230749055811', 'twitter': 'https://partyflock.nlhttps://twitter.com/djannamiranda'}
C1	/artist/80:C1	man	Verenigd Koninkrijk	DJ				{}
