I.F.U.								
Severus								
Freiberg	/artist/64979:Banging-Basstards	man	Oostenrijk	DJ				{}
Jesper Ryom								
Alex ElVíl								
Rich Medina	/artist/61873:Rich-Medina	man	Verenigde Staten	DJ, spoken word	afro, funk, hip hop, house, soulful house	http://www.richmedina.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/rich-medina', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/79s8bIiHdwNsqLNHpwvqBF', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/richmedina/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/664861174'}
RRUCCULLA								
Jani HO								
SwaggaCats								
Rudy Nicoletti								
Elias Tzikas								
Underscep								
Chris Firenze								
Feelmark								
Dudu	/artist/100210:Dudu-Capoeira	man	Brazilië	percussionist				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/dudu-capoeira', 'twitter': 'https://partyflock.nlhttps://twitter.com/duducapo', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UCK57otfouzGNdiTv14T7vWA', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1006907189'}
Gruuve								
DJ Fred Rick Douglass								
Ricky Bhi								
Bass Panda	/artist/81570:Bass-Panda	man	Canada	DJ	drum & bass			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/bass-panda', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/238222579564560'}
Ricktoxic								
Rintaro								
Slavick								
Fabio Neural	/artist/112884:Fabio-Neural	man	Italië	DJ	dub, techhouse, techno	http://www.fabioneural.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/fabioneural', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/18gG21ZrYo2Iq6jeobmdRj', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/fabioneural', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/fabioneural/', 'twitter': 'https://partyflock.nlhttps://twitter.com/FabioNeural', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/41936302546'}
