Nubus								
Gavin Varitech								
DJ Tang								
Scotty Boy	/artist/98473:Scotty-boy	man	Verenigde Staten	DJ				{}
Hen_ry								
Extrasoul								
Traversable Message								
Serkin								
Nonsense	/artist/61981:Nonsense	man	Nederland	DJ	deephouse, house, techhouse			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/bjornbranddj', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/255354641175407'}
Zeemo								
Baxley								
Lunatics Of Sound								
Senzala								
Thomas Sonora								
KMRU								
Ypset								
Matt Aubusson								
Latona								
Alex Over	/artist/42853:Overdog	man	Duitsland	DJ, producer, groep	trance			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/jverdog', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1357574104'}
Kingkong	/artist/104845:King-Kong-Company	mix	Ierland	band	electronica	http://www.kingkongcompany.com/		{'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UCbe6KCQMHPxiX_CeQctLISA', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/35MitF0r2S8D34Jn3841m5', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/kingkongcomp/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/101481579926337'}
Hearz								
Barbelle								
Andreas Georgiades								
Piniziale								
Birds of Mind	/artist/100805:Birds-of-Mind	man	Frankrijk	DJ, groep	deephouse, house			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/birds-of-mind', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/birdsofmind/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/948101041904414'}
Andreas Kärrfelt								
Ruffhouse								
Angelo Rubichi								
Taktmodul								
Schlachthofbronx	/artist/50669:Schlachthofbronx	man	Duitsland	DJ, groep	dubstep, electro, latin	http://www.schlachthofbronx.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/schlachthofbronx', 'twitter': 'https://partyflock.nlhttps://twitter.com/schlachthofbrnx', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/schlachthofbronx/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/289704599648', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UCxqW2PxB-9myeACug0xizzg'}
Pierpaolo Buonsante								
Agustin Border								
Chris Jockey								
Tom De Mach	/artist/103921:Rage-Against-The-Machine	man	Verenigde Staten	band, groep	metal, rock	http://ratm.com/		{'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/RATMVEVO', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/274618105973317'}
Super Super	/artist/89392:Supermoon	man	Nederland	band	funk, pop			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/supermoonoffical', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/847394345321590'}
Soyeon								
DJ Wada								
Lomidze								
DFT								
DLB	/artist/75796:Didier-Dlb	man	Duitsland	DJ	acid, jazz			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/didierdlb', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100001773817561'}
Pete van Payne								
Oxytek								
Pirate Stereo								
A-Man								
Reash								
K3NND0								
Interpreter								
Batrak								
Matteo Luis								
2SHY	/artist/84715:2Shy	man	Verenigd Koninkrijk	MC	drum & bass	http://www.2shymc.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/2shy', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/2shy/id410287878', 'twitter': 'https://partyflock.nlhttps://twitter.com/2shymc', 'youtube': 'https://partyflock.nlhttps://youtube.com/mc2shy', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/8561326394'}
Gobbi	/artist/97598:Gobbit	man	Duitsland	DJ	techno			{'facebook': 'https://partyflock.nlhttps://www.facebook.com/569788636418885'}
Eric Volta	/artist/77554:Eric-Volta	man	Verenigd Koninkrijk	DJ			http://www.nge-booking.com/	{'soundcloud': 'https://partyflock.nlhttps://www.soundcloud.com/ericvolta', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/245536179418'}
Lu'e-B								
Zaletny								
Eva Elekktra								
Raul Aguilar								
Ozy	/artist/1908:Ozymandias	man	Nederland	DJ	drum & bass, hardcore			{}
Mare Rejv Olupine								
EEZIR								
Sonny RS								
Ricky J								
D.Zeledon								
