Joe Cristantiny								
Yvine								
Redselecter								
Pack Up And Dance								
Vicious Advert								
Herrmann-her								
Joma Beton								
Drum Planet								
Chris NG								
Willard	/artist/51552:Bwaayd	man	Nederland	DJ	classics, disco, house, minimal, soulful house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/bwaayd'}
DJ Sola								
Griff	/artist/96016:GRYFFIN	man	Verenigde Staten	DJ		http://gryffinofficial.com/		{'soundcloud': 'https://partyflock.nlhttps://www.soundcloud.com/gryffinofficial', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/gryffinofficial', 'instagram': 'https://partyflock.nlhttps://instagram.com/gryffinofficial', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/739248406101485'}
M.in & YNK	/artist/56085:M-in	man	Duitsland	DJ	house		http://www.pearls-booking.com/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/m-in', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/100000897891236'}
Kauf	/artist/61777:Kauffman	man	Nederland	DJ	techhouse, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/kauffman', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/204927906206064'}
Steven Shade								
Dj Giuliano								
Run Hide Survive								
Harry Cross								
Tripmastaz	/artist/63218:Tripmastaz	man	Rusland	DJ	electro, house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/tripmastaz', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/tripmastaz/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/169298726503726'}
Sikaflex								
Sias (1)								
Troubler CL								
Dave Kane	/artist/62794:Dave-Kane	man	België	DJ	club, electro, trance			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/davekane', 'twitter': 'https://partyflock.nlhttps://twitter.com/djdavekane', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/djdavekane', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/750917455'}
Ben Saadi								
Mokira								
Marcus Welz								
Lear Martinez								
Simply Jeff								
Jeremy K								
