artist_name	gender	event_id	date	venue_namevenue_id	city	country
3.14	Male	667739	2014-12-26T00:00			
3.14	Male	446524	2013-03-08T00:00			
3.14	Male	458605	2013-03-15T00:00			
3.14	Male	501152	2013-07-27T00:00			
3.14	Male	540919	2013-11-30T00:00			
3.14	Male	544603	2013-12-06T00:00			
3.14	Male	411896	2012-10-20T00:00			
88uw	Male	912678	2017-01-27T00:00			
88uw	Male	933474	2017-02-25T00:00			
88uw	Male	924805	2017-03-31T00:00			
88uw	Male	1135268	2017-12-02T00:00			
88uw	Male	787468	2016-01-21T00:00			
88uw	Male	834423	2016-05-07T00:00			
88uw	Male	854369	2016-07-14T00:00			
88uw	Male	867006	2016-09-15T00:00			
88uw	Male	716489	2015-06-12T00:00			
88uw	Male	773972	2015-11-13T00:00			
88uw	Male	772443	2015-11-27T00:00			
88uw	Male	542614	2014-01-01T00:00			
88uw	Male	550220	2014-01-29T00:00			
88uw	Male	564772	2014-03-15T00:00			
88uw	Male	564771	2014-03-22T00:00			
88uw	Male	568436	2014-04-12T00:00			
88uw	Male	579529	2014-04-16T00:00			
88uw	Male	583027	2014-04-20T00:00			
88uw	Male	589421	2014-05-03T00:00			
88uw	Male	588427	2014-05-14T00:00			
88uw	Male	605224	2014-06-07T00:00			
88uw	Male	598430	2014-06-18T00:00			
88uw	Male	572518	2014-07-03T00:00			
88uw	Male	611684	2014-07-12T00:00			
88uw	Male	609071	2014-07-16T00:00			
88uw	Male	606320	2014-07-25T00:00			
88uw	Male	617513	2014-08-27T00:00			
88uw	Male	625302	2014-09-17T00:00			
88uw	Male	640560	2014-10-04T00:00			
88uw	Male	635638	2014-10-15T00:00			
88uw	Male	641603	2014-11-08T00:00			
88uw	Male	434204	2013-01-16T00:00			
88uw	Male	440175	2013-01-18T00:00			
88uw	Male	449775	2013-02-20T00:00			
88uw	Male	445503	2013-03-09T00:00			
88uw	Male	453325	2013-03-15T00:00			
88uw	Male	453331	2013-03-20T00:00			
88uw	Male	465505	2013-04-17T00:00			
88uw	Male	477878	2013-05-05T00:00			
88uw	Male	471805	2013-05-15T00:00			
88uw	Male	483184	2013-06-19T00:00			
88uw	Male	497849	2013-07-17T00:00			
88uw	Male	505430	2013-08-02T00:00			
88uw	Male	503803	2013-08-21T00:00			
88uw	Male	503820	2013-08-30T00:00			
88uw	Male	512140	2013-09-18T00:00			
88uw	Male	522811	2013-09-29T00:00			
88uw	Male	521053	2013-10-16T00:00			
88uw	Male	529847	2013-11-08T00:00			
88uw	Male	527309	2013-11-20T00:00			
88uw	Male	535803	2013-12-18T00:00			
88uw	Male	321175	2012-01-04T00:00			
88uw	Male	331209	2012-02-10T00:00			
88uw	Male	347706	2012-04-06T00:00			
88uw	Male	343644	2012-04-27T00:00			
88uw	Male	360110	2012-05-19T00:00			
88uw	Male	370352	2012-05-27T00:00			
88uw	Male	359039	2012-06-01T00:00			
88uw	Male	377577	2012-07-06T00:00			
88uw	Male	414481	2012-11-21T00:00			
88uw	Male	425703	2012-12-19T00:00			
88uw	Male	414389	2012-12-31T00:00			
88uw	Male	220371	2011-01-10T00:00			
88uw	Male	228465	2011-02-07T00:00			
88uw	Male	248492	2011-04-11T00:00			
88uw	Male	264217	2011-05-06T00:00			
88uw	Male	250732	2011-05-07T00:00			
88uw	Male	256038	2011-05-09T00:00			
88uw	Male	261599	2011-05-28T00:00			
88uw	Male	262208	2011-06-04T00:00			
88uw	Male	262212	2011-06-05T00:00			
88uw	Male	265502	2011-06-06T00:00			
88uw	Male	317111	2011-12-16T00:00			
88uw	Male	153293	2010-03-20T00:00			
88uw	Male	177794	2010-08-21T00:00			
a-bee	Male	956995	2017-04-07T00:00			
a-bee	Male	1014012	2017-10-20T00:00			
a-bee	Male	787363	2016-01-16T00:00			
a-bee	Male	811783	2016-03-11T00:00			
a-bee	Male	590103	2014-04-26T00:00			
a-bee	Male	446302	2013-02-15T00:00			
a-bee	Male	453525	2013-03-22T00:00			
a-bee	Male	484018	2013-06-08T00:00			
a-bee	Male	533821	2013-11-22T00:00			
a-bee	Male	378509	2012-06-22T00:00			
a-bee	Male	181744	2010-03-26T00:00			
a-bee	Male	181728	2010-08-20T00:00			
a-bee	Male	211562	2010-12-12T00:00			
a-bee	Male	213721	2010-12-31T00:00			
a-bee	Male	109171	2009-07-30T00:00			
0comeups	Male	1028926	2017-12-07T00:00			
0comeups	Male	1012740	2017-09-23T00:00			
0comeups	Male	967026	2017-05-19T00:00			
0comeups	Male	823224	2016-04-08T00:00			
4004	Male	583259	2014-04-05T00:00			
4004	Male	506728	2013-08-30T00:00			
4004	Male	379950	2012-07-07T00:00			
4004	Male	379978	2012-07-07T00:00			
@lex	Male	799081	2016-02-06T00:00			
@lex	Male	861250	2016-07-22T00:00			
@lex	Male	867799	2016-09-15T00:00			
@lex	Male	905205	2016-11-26T00:00			
@lex	Male	922394	2016-12-29T00:00			
@lex	Male	695917	2015-04-18T00:00			
@lex	Male	741687	2015-08-08T00:00			
@lex	Male	622222	2014-08-02T00:00			
@lex	Male	1031898	2011-07-22T00:00			
214	Male	922056	2017-02-11T00:00			
214	Male	974307	2017-05-28T00:00			
214	Male	979742	2017-07-09T00:00			
214	Male	1002815	2017-10-07T00:00			
214	Male	1024624	2017-11-11T00:00			
214	Male	834277	2016-06-18T00:00			
214	Male	846679	2016-07-29T00:00			
214	Male	872493	2016-09-24T00:00			
214	Male	727877	2015-07-17T00:00			
214	Male	742748	2015-09-18T00:00			
214	Male	746914	2015-09-25T00:00			
214	Male	766646	2015-11-27T00:00			
214	Male	765861	2015-12-19T00:00			
214	Male	552768	2014-01-11T00:00			
214	Male	550382	2014-01-12T00:00			
214	Male	631169	2014-09-04T00:00			
214	Male	438348	2013-01-16T00:00			
214	Male	442779	2013-01-19T00:00			
214	Male	474686	2013-09-12T00:00			
214	Male	319354	2012-01-07T00:00			
214	Male	361845	2012-02-11T00:00			
214	Male	336206	2012-02-17T00:00			
214	Male	329985	2012-03-09T00:00			
214	Male	369742	2012-05-25T00:00			
214	Male	402235	2012-09-30T00:00			
214	Male	417028	2012-11-03T00:00			
214	Male	214659	2011-01-05T00:00			
214	Male	318285	2011-01-07T00:00			
214	Male	225772	2011-02-12T00:00			
214	Male	231994	2011-02-25T00:00			
214	Male	238323	2011-03-18T00:00			
214	Male	247182	2011-04-08T00:00			
214	Male	253053	2011-05-04T00:00			
214	Male	271287	2011-09-28T00:00			
214	Male	306343	2011-11-04T00:00			
